Sample_name	Code	State	City	Location	catchment	Sampler_Start_Date	Sample	Sample_group
2365	10X	Arizona	Tempe	Tempe 01	TP01	2021-07-22	Wastewater	Batch1
2366	11X	Arizona	Tempe	Tempe 02	TP02	2021-07-22	Wastewater	Batch1
2368	13X	Arizona	Tempe	Tempe 04	TP04	2021-07-22	Wastewater	Batch1
2369	14X	Arizona	Tempe	Tempe 05	TP05	2021-07-22	Wastewater	Batch1
2371	16X	Arizona	Tempe	Tempe 09	College	2021-07-22	Wastewater	Batch1
2372	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2021-07-22	Wastewater	Batch1
2373	18X	Arizona	Tempe	Tempe 10	StLukes	2021-07-22	Wastewater	Batch1
2374	19X	Arizona	Mesa	Location 1	ME01	2021-07-22	Wastewater	Batch1
B1	1X	Georgia	Americus	Americus	MillcreekWaterPollutionControlFacility	2021-07-19	Wastewater	Batch1
2375	20X	Arizona	Mesa	Location 2	ME02	2021-07-22	Wastewater	Batch1
B2	2X	Washington	Des Moines	Des Moines 1	MidwaySewerDistrict	2021-07-19	Wastewater	Batch1
B3	3X	Oregon	Dallas	Dallas	Dallas,ORWaterReclamationFacility	2021-07-19	Wastewater	Batch1
B4	4X	New Mexico	Farmington	Farmington	FarmingtonWWTP	2021-07-19	Wastewater	Batch1
B5	5X	Washington	Des Moines	Des Moines 2	RedondoWWTP	2021-07-19	Wastewater	Batch1
B6	6X	Washington	Walla Walla	Walla Walla	WWTP	2021-07-19	Wastewater	Batch1
B7	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-07-19	Wastewater	Batch1
B8	8X	New Jersey	Hoboken	Hoboken	NHSAAdamsSt.Hoboken	2021-07-21	Wastewater	Batch1
B9	9X	Arizona	Scottsdale	Scottsdale	CityofScottsdaleWaterCampus	2021-07-20	Wastewater	Batch1
3937	10X	Arizona	Tempe	Tempe 01	TP01	2022-05-23	Wastewater	Batch10
4009	10X	Arizona	Tempe	Tempe 01	TP01	2022-06-06	Wastewater	Batch10
3938	11X	Arizona	Tempe	Tempe 02	TP02	2022-05-23	Wastewater	Batch10
3940	13X	Arizona	Tempe	Tempe 04	TP04	2022-05-23	Wastewater	Batch10
3941	14X	Arizona	Tempe	Tempe 05	TP05	2022-05-23	Wastewater	Batch10
3945	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2022-05-23	Wastewater	Batch10
4019	19X	Arizona	Mesa	Location 1	ME01	2022-06-06	Wastewater	Batch10
B413	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2022-05-23	Wastewater	Batch10
G432	22X	Arizona	Gilbert	Gilbert 2	Greenfield MS	2022-06-07	Wastewater	Batch10
B399	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-05-09	Wastewater	Batch10
B416	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-05-23	Wastewater	Batch10
3944	24X	Arizona	Tempe	Tempe 07	Downtown/TP07	2022-05-23	Wastewater	Batch10
B420	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-05-23	Wastewater	Batch10
B436	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-06-06	Wastewater	Batch10
B401	26X	Kentucky	Louisville	Louisville 1	Wood Road and Terry Road Site 1593	2022-05-10	Wastewater	Batch10
B402	27X	Kentucky	Louisville	Louisville 2	Ashby Lane and Mill Creek Site 1594	2022-05-10	Wastewater	Batch10
B404	29X	Kentucky	Louisville	Louisville 4	Preston and South Park 1596	2022-05-10	Wastewater	Batch10
B431	2X	Washington	Des Moines	Des Moines 1	Midway Sewer District	2022-06-06	Wastewater	Batch10
B405	30X	Kentucky	Louisville	Louisville 5	Pineland Drive and Oakmount Drive Site 1597	2022-05-10	Wastewater	Batch10
B406	31X	Kentucky	Louisville	Louisville 6	W. Indian Trail Site 1606	2022-05-10	Wastewater	Batch10
B412	32X	Oregon	Gresham	Gresham	Gresham WWTP	2022-05-24	Wastewater	Batch10
B435	32X	Oregon	Gresham	Gresham	Gresham WWTP	2022-06-06	Wastewater	Batch10
B414	34X	Washington	Sequim	Sequim 2	Sunland Water District	2022-05-23	Wastewater	Batch10
B398	35X	Washington	Sequim	Sequim 1	City of Sequim WRF	2022-05-09	Wastewater	Batch10
B409	35X	Washington	Sequim	Sequim 1	City of Sequim WRF	2022-05-24	Wastewater	Batch10
B432	35X	Washington	Sequim	Sequim 1	City of Sequim WRF	2022-06-06	Wastewater	Batch10
B397	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2022-05-09	Wastewater	Batch10
B410	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2022-05-23	Wastewater	Batch10
B437	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2022-06-06	Wastewater	Batch10
B400	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2022-05-10	Wastewater	Batch10
B411	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2022-05-23	Wastewater	Batch10
B439	5X	Washington	Des Moines	Des Moines 2	Redondo	2022-06-06	Wastewater	Batch10
B396	6X	Washington	Walla Walla	Walla Walla	City of Walla Walla	2022-05-09	Wastewater	Batch10
B408	6X	Washington	Walla Walla	Walla Walla	City of Walla Walla	2022-05-23	Wastewater	Batch10
B395	7X	Washington	Spokane	Spokane	Spokane County Regional WRF	2022-05-09	Wastewater	Batch10
B417	7X	Washington	Spokane	Spokane	Spokane County Regional WRF	2022-05-23	Wastewater	Batch10
B433	7X	Washington	Spokane	Spokane	Spokane County Regional WRF	2022-06-06	Wastewater	Batch10
B415	8X	New Jersey	Hoboken	Hoboken	NHSA Adams St. Hoboken	2022-05-23	Wastewater	Batch10
B407	9X	Arizona	Scottsdale	Scottsdale	COS Scottsdale	2022-05-17	Wastewater	Batch10
2488	10X	Arizona	Tempe	Tempe 01	TP01	2021-08-16	Wastewater	Batch2
2413	11X	Arizona	Tempe	Tempe 02	TP02	2021-08-02	Wastewater	Batch2
2489	11X	Arizona	Tempe	Tempe 02	TP02	2021-08-16	Wastewater	Batch2
2490	12X	Arizona	Tempe	Tempe 03	TP03	2021-08-16	Wastewater	Batch2
2415	13X	Arizona	Tempe	Tempe 04	TP04	2021-08-02	Wastewater	Batch2
2491	13X	Arizona	Tempe	Tempe 04	TP04	2021-08-16	Wastewater	Batch2
2416	14X	Arizona	Tempe	Tempe 05	TP05	2021-08-02	Wastewater	Batch2
2492	14X	Arizona	Tempe	Tempe 05	TP05	2021-08-16	Wastewater	Batch2
2417	15X	Arizona	Tempe	Tempe 08	Rural	2021-08-02	Wastewater	Batch2
2493	15X	Arizona	Tempe	Tempe 08	Rural	2021-08-16	Wastewater	Batch2
2494	16X	Arizona	Tempe	Tempe 09	College	2021-08-16	Wastewater	Batch2
2497	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2021-08-16	Wastewater	Batch2
2422	19X	Arizona	Mesa	Location 1	ME01	2021-08-02	Wastewater	Batch2
2499	19X	Arizona	Mesa	Location 1	ME01	2021-08-16	Wastewater	Batch2
B16	1X	Georgia	Americus	Americus	MillcreekWaterPollutionControlFacility	2021-08-02	Wastewater	Batch2
B31	1X	Georgia	Americus	Americus	MillcreekWaterPollutionControlFacility	2021-08-16	Wastewater	Batch2
2423	20X	Arizona	Mesa	Location 2	ME02	2021-08-02	Wastewater	Batch2
2500	20X	Arizona	Mesa	Location 2	ME02	2021-08-16	Wastewater	Batch2
G376	21X	Arizona	Gilbert	Gilbert 1	Neely WWTP	2021-08-11	Wastewater	Batch2
G378	22X	Arizona	Gilbert	Gilbert 2	Greenfield MS	2021-08-11	Wastewater	Batch2
B13	23X	Oregon	Ontario	Ontario	Ontario City Inf	2021-08-02	Wastewater	Batch2
B36	23X	Oregon	Ontario	Ontario	Ontario City Inf	2021-08-16	Wastewater	Batch2
2419	24X	Arizona	Tempe	Tempe 07	Downtown/TP07	2021-08-02	Wastewater	Batch2
2496	24X	Arizona	Tempe	Tempe 07	Downtown/TP07	2021-08-16	Wastewater	Batch2
B20	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2021-08-09	Wastewater	Batch2
B21	26X	Kentucky	Louisville	Louisville 1	Site 1593/MH32985 Wood Road & Terry Road	2021-08-08	Wastewater	Batch2
B22	27X	Kentucky	Louisville	Louisville 2	Site 1594/MH09837 Ashby Lane & Mill Creek	2021-08-08	Wastewater	Batch2
B23	28X	Kentucky	Louisville	Louisville 3	Site 1595/DRGWQTC INF	2021-08-08	Wastewater	Batch2
B24	29X	Kentucky	Louisville	Louisville 4	Site 1596/MH57350 Preston & South Park	2021-08-08	Wastewater	Batch2
B12	2X	Washington	Des Moines	Des Moines 1	MidwaySewerDistrict	2021-08-02	Wastewater	Batch2
B34	2X	Washington	Des Moines	Des Moines 1	MidwaySewerDistrict	2021-08-16	Wastewater	Batch2
B26	31X	Kentucky	Louisville	Louisville 6	Site 1606/MH23290 W. Indian Trail	2021-08-08	Wastewater	Batch2
B32	32X	Oregon	Gresham	Gresham	Gresham WWTP	2021-08-16	Wastewater	Batch2
2495	33X	Arizona	Tempe	Tempe 06	Spence/TP06	2021-08-16	Wastewater	Batch2
B38	34X	Washington	Sequim	Sequim 2	Sunland Water District	2021-08-17	Wastewater	Batch2
B19	3X	Oregon	Dallas	Dallas	Dallas,ORWaterReclamationFacility	2021-08-02	Wastewater	Batch2
B37	3X	Oregon	Dallas	Dallas	Dallas,ORWaterReclamationFacility	2021-08-16	Wastewater	Batch2
B17	4X	New Mexico	Farmington	Farmington	FarmingtonWWTP	2021-08-02	Wastewater	Batch2
B29	4X	New Mexico	Farmington	Farmington	FarmingtonWWTP	2021-08-16	Wastewater	Batch2
B14	5X	Washington	Des Moines	Des Moines 2	RedondoWWTP	2021-08-02	Wastewater	Batch2
B30	5X	Washington	Des Moines	Des Moines 2	RedondoWWTP	2021-08-16	Wastewater	Batch2
B11	6X	Washington	Walla Walla	Walla Walla	WWTP	2021-08-02	Wastewater	Batch2
B33	6X	Washington	Walla Walla	Walla Walla	WWTP	2021-08-16	Wastewater	Batch2
B15	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-08-02	Wastewater	Batch2
B35	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-08-16	Wastewater	Batch2
B10	8X	New Jersey	Hoboken	Hoboken	NHSAAdamsSt.Hoboken	2021-07-29	Wastewater	Batch2
B27	8X	New Jersey	Hoboken	Hoboken	NHSAAdamsSt.Hoboken	2021-08-15	Wastewater	Batch2
B39	9X	Arizona	Scottsdale	Scottsdale	CityofScottsdaleWaterCampus	2021-08-17	Wastewater	Batch2
2565	10X	Arizona	Tempe	Tempe 01	TP01	2021-08-30	Wastewater	Batch3
2566	11X	Arizona	Tempe	Tempe 02	TP02	2021-08-30	Wastewater	Batch3
2638	11X	Arizona	Tempe	Tempe 02	TP02	2021-09-13	Wastewater	Batch3
2568	13X	Arizona	Tempe	Tempe 04	TP04	2021-08-30	Wastewater	Batch3
2640	13X	Arizona	Tempe	Tempe 04	TP04	2021-09-13	Wastewater	Batch3
2569	14X	Arizona	Tempe	Tempe 05	TP05	2021-08-30	Wastewater	Batch3
2570	16X	Arizona	Tempe	Tempe 09	College	2021-08-30	Wastewater	Batch3
2658	16X	Arizona	Tempe	Tempe 09	College	2021-09-17	Wastewater	Batch3
2575	19X	Arizona	Mesa	Location 1	ME01	2021-08-30	Wastewater	Batch3
B48	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2021-08-30	Wastewater	Batch3
B100	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2021-09-27	Wastewater	Batch3
B136	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2021-10-25	Wastewater	Batch3
G379	21X	Arizona	Gilbert	Gilbert 1	Neely WWTP	2021-08-25	Wastewater	Batch3
B82	21X	Arizona	Gilbert	Gilbert 1	Neely WWTP	2021-09-27	Wastewater	Batch3
G392	21X	Arizona	Gilbert	Gilbert 1	Neely WWTP	2021-11-01	Wastewater	Batch3
B83	22X	Arizona	Gilbert	Gilbert 2	Greenfield MS	2021-09-27	Wastewater	Batch3
G393	22X	Arizona	Gilbert	Gilbert 2	Greenfield MS	2021-11-01	Wastewater	Batch3
B52	23X	Oregon	Ontario	Ontario	Ontario City Inf	2021-08-30	Wastewater	Batch3
B96	23X	Oregon	Ontario	Ontario	Ontario City Inf	2021-09-27	Wastewater	Batch3
B93	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2021-09-27	Wastewater	Batch3
B146	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2021-10-25	Wastewater	Batch3
B40	26X	Kentucky	Louisville	Louisville 1	Site 1593/MH32985 Wood Road & Terry Road	2021-08-22	Wastewater	Batch3
B85	27X	Kentucky	Louisville	Louisville 2	Site 1754/MH09837 Ashby Lane & Mill Creek	2021-09-26	Wastewater	Batch3
B150	27X	Kentucky	Louisville	Louisville 2	Site 1882	2021-11-08	Wastewater	Batch3
B86	28X	Kentucky	Louisville	Louisville 3	Site 1755/DRGWQTC INF	2021-09-26	Wastewater	Batch3
B151	28X	Kentucky	Louisville	Louisville 3	Site 1883	2021-11-08	Wastewater	Batch3
B43	29X	Kentucky	Louisville	Louisville 4	Site 1596/MH57350 Preston & South Park	2021-08-22	Wastewater	Batch3
B87	29X	Kentucky	Louisville	Louisville 4	Site 1756/MH57350 Preston & South Park	2021-09-26	Wastewater	Batch3
B152	29X	Kentucky	Louisville	Louisville 4	Site 1884	2021-11-08	Wastewater	Batch3
B88	30X	Kentucky	Louisville	Louisville 5	Site 1757/MH57769 Pineland Drive & Oakmont Dr.	2021-09-26	Wastewater	Batch3
B45	31X	Kentucky	Louisville	Louisville 6	Site 1606/MH23290 W. Indian Trail	2021-08-22	Wastewater	Batch3
B89	31X	Kentucky	Louisville	Louisville 6	Site 1766/MH23290 W. Indian Trail	2021-09-26	Wastewater	Batch3
B132	31X	Kentucky	Louisville	Louisville 6	Site 1866	2021-10-24	Wastewater	Batch3
B154	31X	Kentucky	Louisville	Louisville 6	Site 1894	2021-11-08	Wastewater	Batch3
B50	32X	Oregon	Gresham	Gresham	Gresham WWTP	2021-08-30	Wastewater	Batch3
B91	32X	Oregon	Gresham	Gresham	Gresham WWTP	2021-09-27	Wastewater	Batch3
B133	32X	Oregon	Gresham	Gresham	Gresham WWTP	2021-10-25	Wastewater	Batch3
2571	33X	Arizona	Tempe	Tempe 06	Spence/TP06	2021-08-30	Wastewater	Batch3
2659	33X	Arizona	Tempe	Tempe 06	Spence/TP06	2021-09-17	Wastewater	Batch3
B56	34X	Washington	Sequim	Sequim 2	Sunland Water District	2021-08-30	Wastewater	Batch3
B94	34X	Washington	Sequim	Sequim 2	Sunland Water District	2021-09-27	Wastewater	Batch3
B144	35X	Washington	Sequim	Sequim 1	Sequim WRF	2021-10-25	Wastewater	Batch3
B142	38X	Texas	Houston	Houston 3	Keegan's Bayou	2021-10-25	Wastewater	Batch3
B53	3X	Oregon	Dallas	Dallas	Dallas, OR Water Reclamation Facility	2021-08-30	Wastewater	Batch3
B102	3X	Oregon	Dallas	Dallas	Rickreall 1070 Bowersville Road 97371	2021-09-27	Wastewater	Batch3
B55	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2021-08-30	Wastewater	Batch3
B99	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2021-09-28	Wastewater	Batch3
B138	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2021-10-25	Wastewater	Batch3
B145	5X	Washington	Des Moines	Des Moines 2	Redondo WWTP	2021-10-25	Wastewater	Batch3
B54	6X	Washington	Walla Walla	Walla Walla	WWTP	2021-08-30	Wastewater	Batch3
B97	6X	Washington	Walla Walla	Walla Walla	WWTP	2021-09-27	Wastewater	Batch3
B135	6X	Washington	Walla Walla	Walla Walla	WWTP	2021-10-25	Wastewater	Batch3
B51	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-08-30	Wastewater	Batch3
B95	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-09-27	Wastewater	Batch3
B143	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-10-25	Wastewater	Batch3
B46	8X	New Jersey	Hoboken	Hoboken	NHSAAdamsSt.Hoboken	2021-08-29	Wastewater	Batch3
B90	8X	New Jersey	Hoboken	Hoboken	NHSAAdamsSt.Hoboken	2021-09-26	Wastewater	Batch3
B139	8X	New Jersey	Hoboken	Hoboken	NHSAAdamsSt.Hoboken	2021-10-25	Wastewater	Batch3
B57	9X	Arizona	Scottsdale	Scottsdale	COS Water Quailty Laboratory	2021-09-01	Wastewater	Batch3
B148	9X	Arizona	Scottsdale	Scottsdale	COS Water Quailty Laboratory	2021-11-02	Wastewater	Batch3
2711	10X	Arizona	Tempe	Tempe 01	TP01	2021-09-29	Wastewater	Batch4
2768	10X	Arizona	Tempe	Tempe 01	TP01	2021-10-11	Wastewater	Batch4
2829	10X	Arizona	Tempe	Tempe 01	TP01	2021-10-22	Wastewater	Batch4
2712	11X	Arizona	Tempe	Tempe 02	TP02	2021-09-29	Wastewater	Batch4
2769	11X	Arizona	Tempe	Tempe 02	TP02	2021-10-11	Wastewater	Batch4
2830	11X	Arizona	Tempe	Tempe 02	TP02	2021-10-22	Wastewater	Batch4
2714	13X	Arizona	Tempe	Tempe 04	TP04	2021-09-29	Wastewater	Batch4
2771	13X	Arizona	Tempe	Tempe 04	TP04	2021-10-11	Wastewater	Batch4
2832	13X	Arizona	Tempe	Tempe 04	TP04	2021-10-22	Wastewater	Batch4
2715	14X	Arizona	Tempe	Tempe 05	TP05	2021-09-29	Wastewater	Batch4
2833	14X	Arizona	Tempe	Tempe 05	TP05	2021-10-22	Wastewater	Batch4
2834	15X	Arizona	Tempe	Tempe 08	Rural	2021-10-22	Wastewater	Batch4
2716	16X	Arizona	Tempe	Tempe 09	College	2021-09-29	Wastewater	Batch4
2835	16X	Arizona	Tempe	Tempe 09	College	2021-10-22	Wastewater	Batch4
2719	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2021-09-29	Wastewater	Batch4
2776	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2021-10-11	Wastewater	Batch4
2838	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2021-10-22	Wastewater	Batch4
2635	19X	Arizona	Mesa	Location 1	ME01	2021-09-13	Wastewater	Batch4
2721	19X	Arizona	Mesa	Location 1	ME01	2021-09-29	Wastewater	Batch4
2778	19X	Arizona	Mesa	Location 1	ME01	2021-10-11	Wastewater	Batch4
B70	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2021-09-13	Wastewater	Batch4
B121	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2021-10-12	Wastewater	Batch4
2722	20X	Arizona	Mesa	Location 2	ME02	2021-09-29	Wastewater	Batch4
G362	21X	Arizona	Gilbert	Gilbert 1	Neely WWTP	2021-07-26	Wastewater	Batch4
B65	21X	Arizona	Gilbert	Gilbert 1	Neely WWTP	2021-09-14	Wastewater	Batch4
