Sample_name	Code	State	City	Location	catchment	Sampler_Start_Date	Sample	Sample_group
B240	5X	Washington	Des Moines	Des Moines 2	Redondo	2022-01-03	Wastewater	Batch6
B253	5X	Washington	Des Moines	Des Moines 2	Redondo	2022-01-17	Wastewater	Batch6
B238	6X	Washington	Walla Walla	Walla Walla	City of Walla Walla	2022-01-03	Wastewater	Batch6
B255	6X	Washington	Walla Walla	Walla Walla	City of Walla Walla	2022-01-17	Wastewater	Batch6
B218	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-12-20	Wastewater	Batch6
B237	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2022-01-03	Wastewater	Batch6
B226	8X	New Jersey	Hoboken	Hoboken	NHSA Adams St. Hoboken	2021-12-20	Wastewater	Batch6
B236	8X	New Jersey	Hoboken	Hoboken	NHSA Adams St. Hoboken	2022-01-04	Wastewater	Batch6
B229	9X	Arizona	Scottsdale	Scottsdale	COS Water Quailty Laboratory	2021-12-29	Wastewater	Batch6
B251	9X	Arizona	Scottsdale	Scottsdale	COS Water Quailty Laboratory	2022-01-12	Wastewater	Batch6
3267	10X	Arizona	Tempe	Tempe 01	TP01	2022-01-17	Wastewater	Batch7
3341	10X	Arizona	Tempe	Tempe 01	TP01	2022-01-31	Wastewater	Batch7
3268	11X	Arizona	Tempe	Tempe 02	TP02	2022-01-17	Wastewater	Batch7
3342	11X	Arizona	Tempe	Tempe 02	TP02	2022-01-31	Wastewater	Batch7
3270	13X	Arizona	Tempe	Tempe 04	TP04	2022-01-17	Wastewater	Batch7
3344	13X	Arizona	Tempe	Tempe 04	TP04	2022-01-31	Wastewater	Batch7
3271	14X	Arizona	Tempe	Tempe 05	TP05	2022-01-17	Wastewater	Batch7
3282	15X	Arizona	Tempe	Tempe 08	Rural	2022-01-19	Wastewater	Batch7
3346	15X	Arizona	Tempe	Tempe 08	Rural	2022-01-31	Wastewater	Batch7
3283	16X	Arizona	Tempe	Tempe 09	College	2022-01-19	Wastewater	Batch7
3347	16X	Arizona	Tempe	Tempe 09	College	2022-01-31	Wastewater	Batch7
3273	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2022-01-17	Wastewater	Batch7
3350	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2022-01-31	Wastewater	Batch7
3351	18X	Arizona	Tempe	Tempe 10	StLukes	2022-01-31	Wastewater	Batch7
3275	19X	Arizona	Mesa	Location 1	ME01	2022-01-17	Wastewater	Batch7
3352	19X	Arizona	Mesa	Location 1	ME01	2022-01-31	Wastewater	Batch7
BD5	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2021-12-28	Wastewater	Batch7
BD6	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2022-01-02	Wastewater	Batch7
B277	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2022-01-31	Wastewater	Batch7
3276	20X	Arizona	Mesa	Location 2	ME02	2022-01-17	Wastewater	Batch7
3353	20X	Arizona	Mesa	Location 2	ME02	2022-01-31	Wastewater	Batch7
G408	21X	Arizona	Gilbert	Gilbert 1	Neely WWTP	2022-01-25	Wastewater	Batch7
G413	21X	Arizona	Gilbert	Gilbert 1	Neely WWTP	2022-02-15	Wastewater	Batch7
G409	22X	Arizona	Gilbert	Gilbert 2	Greenfield MS	2022-01-25	Wastewater	Batch7
G414	22X	Arizona	Gilbert	Gilbert 2	Greenfield MS	2022-02-15	Wastewater	Batch7
BD17	23X	Oregon	Ontario	Ontario	Ontario WWTP	2021-12-26	Wastewater	Batch7
BD18	23X	Oregon	Ontario	Ontario	Ontario WWTP	2022-01-03	Wastewater	Batch7
B273	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-01-31	Wastewater	Batch7
B288	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-02-14	Wastewater	Batch7
3272	24X	Arizona	Tempe	Tempe 07	Downtown/TP10	2022-01-17	Wastewater	Batch7
3349	24X	Arizona	Tempe	Tempe 07	Downtown/TP11	2022-01-31	Wastewater	Batch7
BD15	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2021-12-29	Wastewater	Batch7
BD16	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-01-02	Wastewater	Batch7
B271	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-01-31	Wastewater	Batch7
BD3	2X	Washington	Des Moines	Des Moines 1	Midway Sewer District	2021-12-30	Wastewater	Batch7
BD4	2X	Washington	Des Moines	Des Moines 1	Midway Sewer District	2022-01-02	Wastewater	Batch7
B278	2X	Washington	Des Moines	Des Moines 1	Midway Sewer District	2022-01-31	Wastewater	Batch7
BD19	32X	Oregon	Gresham	Gresham	Gresham WWTP	2021-12-27	Wastewater	Batch7
BD20	32X	Oregon	Gresham	Gresham	Gresham WWTP	2021-12-29	Wastewater	Batch7
B263	32X	Oregon	Gresham	Gresham	Gresham WWTP	2022-01-17	Wastewater	Batch7
B268	32X	Oregon	Gresham	Gresham	Gresham WWTP	2022-01-31	Wastewater	Batch7
B296	32X	Oregon	Gresham	Gresham	Gresham WWTP	2022-02-14	Wastewater	Batch7
3284	33X	Arizona	Tempe	Tempe 06	Spence/TP06	2022-01-19	Wastewater	Batch7
3348	33X	Arizona	Tempe	Tempe 06	Spence/TP06	2022-01-31	Wastewater	Batch7
B272	34X	Washington	Sequim	Sequim 2	Sunland Water District	2022-01-31	Wastewater	Batch7
B291	34X	Washington	Sequim	Sequim 2	Sunland Water District	2022-02-14	Wastewater	Batch7
B281	35X	Washington	Sequim	Sequim 1	City of Sequim WRF	2022-01-31	Wastewater	Batch7
B275	36X	Texas	Houston	Houston 1	West District	2022-01-31	Wastewater	Batch7
B274	37X	Texas	Houston	Houston 2	69th Street	2022-01-31	Wastewater	Batch7
B276	38X	Texas	Houston	Houston 3	Keegan's Bayou	2022-01-31	Wastewater	Batch7
BD9	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2021-12-27	Wastewater	Batch7
BD10	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2022-01-01	Wastewater	Batch7
B264	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2022-01-17	Wastewater	Batch7
B283	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2022-01-31	Wastewater	Batch7
B287	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2022-02-14	Wastewater	Batch7
BD1	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2021-12-30	Wastewater	Batch7
BD2	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2022-01-02	Wastewater	Batch7
B279	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2022-01-31	Wastewater	Batch7
B285	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2022-02-13	Wastewater	Batch7
B269	5X	Washington	Des Moines	Des Moines 2	Redondo	2022-01-31	Wastewater	Batch7
B292	5X	Washington	Des Moines	Des Moines 2	Redondo	2022-02-14	Wastewater	Batch7
BD13	6X	Washington	Walla Walla	Walla Walla	City of Walla Walla	2021-12-29	Wastewater	Batch7
BD14	6X	Washington	Walla Walla	Walla Walla	City of Walla Walla	2022-01-01	Wastewater	Batch7
B282	6X	Washington	Walla Walla	Walla Walla	City of Walla Walla	2022-01-31	Wastewater	Batch7
B286	6X	Washington	Walla Walla	Walla Walla	City of Walla Walla	2022-02-14	Wastewater	Batch7
BD11	7X	Washington	Spokane	Spokane	Spokane County Regional WRF	2021-12-28	Wastewater	Batch7
BD12	7X	Washington	Spokane	Spokane	Spokane County Regional WRF	2022-01-01	Wastewater	Batch7
B270	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2022-01-31	Wastewater	Batch7
B297	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2022-02-14	Wastewater	Batch7
BD7	8X	New Jersey	Hoboken	Hoboken	NHSA Adams St. Hoboken	2021-12-28	Wastewater	Batch7
BD8	8X	New Jersey	Hoboken	Hoboken	NHSA Adams St. Hoboken	2022-01-02	Wastewater	Batch7
B265	8X	New Jersey	Hoboken	Hoboken	NHSA Adams St. Hoboken	2022-01-17	Wastewater	Batch7
B280	8X	New Jersey	Hoboken	Hoboken	NHSA Adams St. Hoboken	2022-01-31	Wastewater	Batch7
B267	9X	Arizona	Scottsdale	Scottsdale	COS Water Quailty Laboratory	2022-01-25	Wastewater	Batch7
3419	10X	Arizona	Tempe	Tempe 01	TP01	2022-02-14	Wastewater	Batch8
3495	10X	Arizona	Tempe	Tempe 01	TP01	2022-02-28	Wastewater	Batch8
3572	10X	Arizona	Tempe	Tempe 01	TP01	2022-03-14	Wastewater	Batch8
3645	10X	Arizona	Tempe	Tempe 01	TP01	2022-03-28	Wastewater	Batch8
3420	11X	Arizona	Tempe	Tempe 02	TP02	2022-02-14	Wastewater	Batch8
3496	11X	Arizona	Tempe	Tempe 02	TP02	2022-02-28	Wastewater	Batch8
3573	11X	Arizona	Tempe	Tempe 02	TP02	2022-03-14	Wastewater	Batch8
3646	11X	Arizona	Tempe	Tempe 02	TP02	2022-03-28	Wastewater	Batch8
3497	12X	Arizona	Tempe	Tempe 03	TP03	2022-02-28	Wastewater	Batch8
3574	12X	Arizona	Tempe	Tempe 03	TP03	2022-03-14	Wastewater	Batch8
3647	12X	Arizona	Tempe	Tempe 03	TP03	2022-03-28	Wastewater	Batch8
3422	13X	Arizona	Tempe	Tempe 04	TP04	2022-02-14	Wastewater	Batch8
3498	13X	Arizona	Tempe	Tempe 04	TP04	2022-02-28	Wastewater	Batch8
3575	13X	Arizona	Tempe	Tempe 04	TP04	2022-03-14	Wastewater	Batch8
3648	13X	Arizona	Tempe	Tempe 04	TP04	2022-03-28	Wastewater	Batch8
3423	14X	Arizona	Tempe	Tempe 05	TP05	2022-02-14	Wastewater	Batch8
3499	14X	Arizona	Tempe	Tempe 05	TP05	2022-02-28	Wastewater	Batch8
3424	15X	Arizona	Tempe	Tempe 08	Rural	2022-02-14	Wastewater	Batch8
3500	15X	Arizona	Tempe	Tempe 08	Rural	2022-02-28	Wastewater	Batch8
3577	15X	Arizona	Tempe	Tempe 08	Rural	2022-03-14	Wastewater	Batch8
3650	15X	Arizona	Tempe	Tempe 08	Rural	2022-03-28	Wastewater	Batch8
3425	16X	Arizona	Tempe	Tempe 09	College	2022-02-14	Wastewater	Batch8
3578	16X	Arizona	Tempe	Tempe 09	College	2022-03-14	Wastewater	Batch8
3428	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2022-02-14	Wastewater	Batch8
3504	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2022-02-28	Wastewater	Batch8
3582	18X	Arizona	Tempe	Tempe 10	StLukes	2022-03-14	Wastewater	Batch8
3430	19X	Arizona	Mesa	Location 1	ME01	2022-02-14	Wastewater	Batch8
B303	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2022-02-28	Wastewater	Batch8
3507	20X	Arizona	Mesa	Location 2	ME02	2022-02-28	Wastewater	Batch8
B311	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-02-28	Wastewater	Batch8
B330	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-03-14	Wastewater	Batch8
B347	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-03-28	Wastewater	Batch8
3427	24X	Arizona	Tempe	Tempe 07	Downtown/TP07	2022-02-14	Wastewater	Batch8
3503	24X	Arizona	Tempe	Tempe 07	Downtown/TP07	2022-02-28	Wastewater	Batch8
B307	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-02-28	Wastewater	Batch8
B321	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-03-14	Wastewater	Batch8
B308	2X	Washington	Des Moines	Des Moines 1	Midway Sewer District	2022-02-28	Wastewater	Batch8
B302	32X	Oregon	Gresham	Gresham	Gresham WWTP	2022-02-28	Wastewater	Batch8
3426	33X	Arizona	Tempe	Tempe 06	Spence/TP06	2022-02-14	Wastewater	Batch8
3502	33X	Arizona	Tempe	Tempe 06	Spence/TP06	2022-02-28	Wastewater	Batch8
B301	34X	Washington	Sequim	Sequim 2	Sunland Water District	2022-02-28	Wastewater	Batch8
B306	35X	Washington	Sequim	Sequim 1	City of Sequim WRF	2022-02-28	Wastewater	Batch8
B344	35X	Washington	Sequim	Sequim 1	City of Sequim WRF	2022-03-28	Wastewater	Batch8
B313	36X	Texas	Houston	Houston 1	West District	2022-02-28	Wastewater	Batch8
B323	36X	Texas	Houston	Houston 1	West District	2022-03-14	Wastewater	Batch8
B312	37X	Texas	Houston	Houston 2	69th Street	2022-02-28	Wastewater	Batch8
B314	38X	Texas	Houston	Houston 3	Keegan's Bayou	2022-02-28	Wastewater	Batch8
B319	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2022-03-14	Wastewater	Batch8
B309	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2022-02-28	Wastewater	Batch8
B310	5X	Washington	Des Moines	Des Moines 2	Redondo	2022-02-28	Wastewater	Batch8
B320	5X	Washington	Des Moines	Des Moines 2	Redondo	2022-03-14	Wastewater	Batch8
B338	5X	Washington	Des Moines	Des Moines 2	Redondo	2022-03-28	Wastewater	Batch8
B305	6X	Washington	Walla Walla	Walla Walla	City of Walla Walla	2022-02-28	Wastewater	Batch8
B318	6X	Washington	Walla Walla	Walla Walla	City of Walla Walla	2022-03-14	Wastewater	Batch8
B331	7X	Washington	Spokane	Spokane	Spokane County Regional WRF	2022-03-14	Wastewater	Batch8
B316	9X	Arizona	Scottsdale	Scottsdale	COS Water Quailty Laboratory	2022-02-23	Wastewater	Batch8
B334	9X	Arizona	Scottsdale	Scottsdale	COS Water Quailty Laboratory	2022-03-24	Wastewater	Batch8
3717	10X	Arizona	Tempe	Tempe 01	TP01	2022-04-11	Wastewater	Batch9
3866	10X	Arizona	Tempe	Tempe 01	TP01	2022-05-09	Wastewater	Batch9
3796	11X	Arizona	Tempe	Tempe 02	TP02	2022-04-25	Wastewater	Batch9
3867	11X	Arizona	Tempe	Tempe 02	TP02	2022-05-09	Wastewater	Batch9
3868	12X	Arizona	Tempe	Tempe 03	TP03	2022-05-09	Wastewater	Batch9
3720	13X	Arizona	Tempe	Tempe 04	TP04	2022-04-11	Wastewater	Batch9
3869	13X	Arizona	Tempe	Tempe 04	TP04	2022-05-09	Wastewater	Batch9
3870	14X	Arizona	Tempe	Tempe 05	TP05	2022-05-09	Wastewater	Batch9
3800	15X	Arizona	Tempe	Tempe 08	Rural	2022-04-25	Wastewater	Batch9
3871	15X	Arizona	Tempe	Tempe 08	Rural	2022-05-09	Wastewater	Batch9
3872	16X	Arizona	Tempe	Tempe 09	College	2022-05-09	Wastewater	Batch9
3803	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2022-04-25	Wastewater	Batch9
3873	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2022-05-09	Wastewater	Batch9
3874	18X	Arizona	Tempe	Tempe 10	StLukes	2022-05-09	Wastewater	Batch9
3728	19X	Arizona	Mesa	Location 1	ME01	2022-04-11	Wastewater	Batch9
B383	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2022-04-25	Wastewater	Batch9
B388	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2022-05-09	Wastewater	Batch9
3657	20X	Arizona	Mesa	Location 2	ME02	2022-03-28	Wastewater	Batch9
3876	20X	Arizona	Mesa	Location 2	ME02	2022-05-09	Wastewater	Batch9
G420	21X	Arizona	Gilbert	Gilbert 1	Neely WWTP	2022-04-18	Wastewater	Batch9
G421	22X	Arizona	Gilbert	Gilbert 2	Greenfield MS	2022-04-18	Wastewater	Batch9
B363	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-04-11	Wastewater	Batch9
B381	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-04-25	Wastewater	Batch9
3725	24X	Arizona	Tempe	Tempe 07	Downtown/TP07	2022-04-11	Wastewater	Batch9
3814	24X	Arizona	Tempe	Tempe 07	Downtown/TP07	2022-04-27	Wastewater	Batch9
B359	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-04-11	Wastewater	Batch9
B373	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-04-25	Wastewater	Batch9
B390	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-05-09	Wastewater	Batch9
B361	2X	Washington	Des Moines	Des Moines 1	Midway Sewer District	2022-04-11	Wastewater	Batch9
B376	2X	Washington	Des Moines	Des Moines 1	Midway Sewer District	2022-04-25	Wastewater	Batch9
B393	2X	Washington	Des Moines	Des Moines 1	Midway Sewer District	2022-05-09	Wastewater	Batch9
B362	32X	Oregon	Gresham	Gresham	Gresham WWTP	2022-04-11	Wastewater	Batch9
B375	32X	Oregon	Gresham	Gresham	Gresham WWTP	2022-04-25	Wastewater	Batch9
B389	32X	Oregon	Gresham	Gresham	Gresham WWTP	2022-05-09	Wastewater	Batch9
B374	34X	Washington	Sequim	Sequim 2	Sunland Water District	2022-04-25	Wastewater	Batch9
B355	35X	Washington	Sequim	Sequim 1	City of Sequim WRF	2022-04-11	Wastewater	Batch9
B378	35X	Washington	Sequim	Sequim 1	City of Sequim WRF	2022-04-25	Wastewater	Batch9
B349	36X	Texas	Houston	Houston 1	West District	2022-03-28	Wastewater	Batch9
B353	36X	Texas	Houston	Houston 1	West District	2022-04-11	Wastewater	Batch9
B386	36X	Texas	Houston	Houston 1	West District	2022-05-09	Wastewater	Batch9
B352	37X	Texas	Houston	Houston 2	69th Street	2022-04-11	Wastewater	Batch9
B369	37X	Texas	Houston	Houston 2	69th Street	2022-04-25	Wastewater	Batch9
B385	37X	Texas	Houston	Houston 2	69th Street	2022-05-09	Wastewater	Batch9
B354	38X	Texas	Houston	Houston 3	Keegan's Bayou	2022-04-11	Wastewater	Batch9
B358	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2022-04-11	Wastewater	Batch9
B377	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2022-04-25	Wastewater	Batch9
B367	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2022-04-11	Wastewater	Batch9
B380	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2022-04-25	Wastewater	Batch9
B365	5X	Washington	Des Moines	Des Moines 2	Redondo	2022-04-11	Wastewater	Batch9
B391	5X	Washington	Des Moines	Des Moines 2	Redondo	2022-05-09	Wastewater	Batch9
B360	6X	Washington	Walla Walla	Walla Walla	City of Walla Walla	2022-04-11	Wastewater	Batch9
B372	6X	Washington	Walla Walla	Walla Walla	City of Walla Walla	2022-04-25	Wastewater	Batch9
B357	7X	Washington	Spokane	Spokane	Spokane County Regional WRF	2022-04-11	Wastewater	Batch9
B379	7X	Washington	Spokane	Spokane	Spokane County Regional WRF	2022-04-25	Wastewater	Batch9
B364	8X	New Jersey	Hoboken	Hoboken	NHSA Adams St. Hoboken	2022-04-11	Wastewater	Batch9
B394	8X	New Jersey	Hoboken	Hoboken	NHSA Adams St. Hoboken	2022-05-09	Wastewater	Batch9
B368	9X	Arizona	Scottsdale	Scottsdale	COS Scottsdale	2022-04-19	Wastewater	Batch9
B384	9X	Arizona	Scottsdale	Scottsdale	COS Scottsdale	2022-05-03	Wastewater	Batch9